date,area,district,mail_type,pct_on_time,area_average,nat_average
2020-02-29,Capital Metro,Capital,first class,90.38,92.37,93.05
2020-02-29,Capital Metro,Capital,marketing,85.57,84.805,91.48925373134328
2020-02-29,Capital Metro,Capital,periodical,84.59,83.69,85.74104477611941
2020-03-07,Capital Metro,Capital,first class,90.39,91.6925,92.29373134328358
2020-03-07,Capital Metro,Capital,marketing,90.03,90.3275,92.01358208955224
2020-03-07,Capital Metro,Capital,periodical,84.79,85.29625,86.38985074626865
2020-03-14,Capital Metro,Capital,first class,90.45,92.46625,91.79925373134328
2020-03-14,Capital Metro,Capital,marketing,92.77,88.84,91.02089552238806
2020-03-14,Capital Metro,Capital,periodical,87.14,85.4875,85.62552238805971
2020-03-21,Capital Metro,Capital,first class,91.93,92.9575,92.48880597014926
2020-03-21,Capital Metro,Capital,marketing,93.43,91.82000000000001,91.89955223880597
2020-03-21,Capital Metro,Capital,periodical,87.92,86.47749999999999,85.31238805970149
2020-03-28,Capital Metro,Capital,first class,91.09,93.11125,92.28328358208955
2020-03-28,Capital Metro,Capital,marketing,94.16,93.40625,92.68477611940298
2020-03-28,Capital Metro,Capital,periodical,85.12,86.71625,84.20388059701493
2020-04-01,Capital Metro,Capital,first class,91.46,93.57124999999999,92.44791044776119
2020-04-01,Capital Metro,Capital,marketing,91.93,90.78375,89.53373134328358
2020-04-01,Capital Metro,Capital,periodical,86.95,86.535,82.98134328358209
2020-04-04,Capital Metro,Capital,first class,90.34,92.39125,91.08268656716417
2020-04-04,Capital Metro,Capital,marketing,93.96,91.74875,88.09537313432836
2020-04-04,Capital Metro,Capital,periodical,83.32,86.54249999999999,81.46358208955223
2020-04-11,Capital Metro,Capital,first class,88.73,90.96000000000001,88.87402985074627
2020-04-11,Capital Metro,Capital,marketing,93.43,91.11375,87.90641791044776
2020-04-11,Capital Metro,Capital,periodical,77.77,80.91375000000001,76.45507462686567
2020-04-18,Capital Metro,Capital,first class,89.55,92.36125,90.52313432835821
2020-04-18,Capital Metro,Capital,marketing,93.38,93.125,88.38283582089552
2020-04-18,Capital Metro,Capital,periodical,85.53,84.69,77.98447761194029
2020-04-25,Capital Metro,Capital,first class,89.45,91.74375,89.73597014925373
2020-04-25,Capital Metro,Capital,marketing,92.36,91.27250000000001,87.3144776119403
2020-04-25,Capital Metro,Capital,periodical,84.13,79.39625000000001,74.06
2020-05-02,Capital Metro,Capital,first class,85.84,90.29875,89.182089552238807
2020-05-02,Capital Metro,Capital,marketing,92.01,86.16,86.49776119402985
